Unnamed: 0,branch_smiles,id2mof,metal_node,mof_index,organic_core,randomized,topology,train/test
78,[Lr]c1ccc(-c2cc(-n3ccnc3)c3c([Lr])c(-n4ccnc4)c(-n4ccnc4)cc3c2-n2ccnc2)c(-n2ccnc2)c1,0,sym_7_mc_4,976.0,None,False,acs,1
79,O=S(O)c1cn(Cc2cc([Lr])c(S(=O)O)cc2-c2c(S(=O)O)cc([Lr])c(S(=O)O)c2S(=O)O)c(S(=O)O)n1,0,sym_7_mc_4,988.0,None,False,acs,1
80,O=S(=O)(O)c1cc(-c2cc(-c3c(S(=O)(=O)O)cc([Lr])c(S(=O)(=O)O)c3S(=O)(=O)O)sn2)ccc1[Lr],0,sym_7_mc_4,994.0,None,False,acs,1
81,O=P(O)(O)Oc1cc(-c2cnn([Lr])c2OP(=O)(O)O)c(OP(=O)(O)O)c(OP(=O)(O)O)c1-c1cnnc([Lr])c1,0,sym_7_mc_4,1017.0,None,False,acs,1
82,O=P(O)(O)Oc1cc([Lr])c2c(c1[Lr])C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C2OP(=O)(O)O,0,sym_7_mc_4,1053.0,None,False,acs,1
84,O=C1c2cc(OP(=O)(O)O)c([Lr])cc2C(OP(=O)(O)O)c2c(OP(=O)(O)O)c([Lr])cc(OP(=O)(O)O)c21,0,sym_7_mc_4,1069.0,None,False,acs,1
85,O=S(=O)(O)c1cc(S(=O)(=O)O)c(-c2cn([Lr])nc2S(=O)(=O)O)c(S(=O)(=O)O)c1-c1cnn([Lr])c1,0,sym_7_mc_4,1084.0,None,False,acs,1
86,O=P(O)(O)Oc1cc(-c2cn([Lr])cc2OP(=O)(O)O)cc(-c2c(OP(=O)(O)O)nn([Lr])c2OP(=O)(O)O)c1,0,sym_7_mc_4,1085.0,None,False,acs,1
87,[Lr]c1ccc(-c2cnc(-c3c(-c4cncnc4)c([Lr])cc(-c4cncnc4)c3-c3cncnc3)nn2)c(-c2cncnc2)c1,0,sym_7_mc_4,1104.0,None,False,acs,1
88,O=C1c2cc([Lr])c(-c3ccc(O)cc3)c(c2)C(=O)c2c([Lr])c(-c3ccc(O)cc3)cc(-c3ccc(O)cc3)c21,0,sym_7_mc_4,1113.0,None,False,acs,1
89,N#COCSC1=C2CC(OC#N)C(=C(SCOC#N)C([Lr])=C2SC(OC#N)(OC#N)OC#N)C(SC(OC#N)OC#N)=C1[Lr],0,sym_7_mc_4,1118.0,None,False,acs,1
90,O=S(O)CSC1=C([Lr])C(SC(S(=O)O)S(=O)O)=C2C(SC(S(=O)O)S(=O)O)=C([Lr])C(SCS(=O)O)=C12,0,sym_7_mc_4,1123.0,None,False,acs,1
91,Oc1ccc(-c2cc(-c3c(-c4ccc(O)cc4)cc([Lr])c(-c4ccc(O)cc4)c3-c3ccc(O)cc3)ccc2[Lr])cc1,0,sym_7_mc_4,1165.0,None,False,acs,1
92,O=P(O)(O)OC1=C([Lr])C2=C1/C(OP(=O)(O)O)=C\c1c(cnc([Lr])c1OP(=O)(O)O)CN2OP(=O)(O)O,0,sym_7_mc_4,1188.0,None,False,acs,0
93,NC(=O)c1cc(-c2c(C(N)=O)cc([Lr])c(C(N)=O)c2C(C(N)=O)n2ccnc2C(N)=O)c(C(N)=O)cc1[Lr],0,sym_7_mc_4,1198.0,None,False,acs,1
94,Oc1cc(O)cc(C2CC2([Lr])SC(c2cc(O)cc(O)c2)(c2cc(O)cc(O)c2)C([Lr])c2cc(O)cc(O)c2)c1,0,sym_7_mc_4,1238.0,None,False,acs,0
