organic_core,metal_node,topology
sym_5_on_9,sym_7_mc_4,tpt
sym_5_on_12,sym_8_mc_7,scu
sym_5_on_13,sym_8_mc_8,scu
sym_3_vae_45,sym_8_mc_9,the
sym_3_vae_45,sym_9_mc_5,spn
sym_5_on_10,sym_8_mc_9,csq
sym_3_vae_1001,sym_6_mc_3,pyr
sym_5_vae_70,sym_8_mc_9,csq
sym_5_on_13,sym_8_mc_8,csq
sym_3_vae_165,sym_24_mc_13,rht
sym_4_vae_645,sym_16_mc_6,gar
sym_5_vae_795,sym_8_mc_7,scu
sym_4_vae_107,sym_9_mc_5,iac
sym_3_vae_1001,sym_24_mc_13,rht
sym_4_vae_645,sym_16_mc_14,gar
sym_5_vae_70,sym_7_mc_4,stp
sym_3_vae_1168,sym_9_mc_5,spn
sym_4_on_6,sym_8_mc_9,flu
sym_4_on_6,sym_8_mc_8,flu
sym_3_vae_289,sym_24_mc_13,rht
sym_3_vae_644,sym_6_mc_3,pyr
sym_3_on_5,sym_24_mc_13,rht
sym_3_vae_1168,sym_8_mc_7,the
sym_5_on_11,sym_8_mc_8,scu
sym_3_vae_561,sym_8_mc_8,the
sym_16_mc_14,sym_8_mc_7,ocu
sym_5_vae_304,sym_7_mc_4,tpt
sym_3_vae_337,sym_9_mc_5,spn
None,sym_5_mc_2,lvtb
sym_3_vae_724,sym_9_mc_5,spn
sym_3_vae_337,sym_8_mc_8,the
sym_3_vae_403,sym_6_mc_3,pyr
sym_5_on_9,sym_8_mc_8,scu
sym_3_vae_456,sym_8_mc_7,the
sym_3_vae_289,sym_9_mc_5,spn
sym_3_vae_1001,sym_8_mc_9,the
sym_4_on_8,sym_8_mc_7,flu
sym_5_vae_298,sym_8_mc_9,csq
sym_5_vae_84,sym_7_mc_4,tpt
None,sym_5_mc_2,ssb
sym_4_on_7,sym_8_mc_7,flu
sym_5_on_10,sym_12_mc_11,ftw
sym_5_vae_298,sym_8_mc_7,csq
sym_5_vae_1038,sym_12_mc_11,ftw
sym_5_on_9,sym_8_mc_9,scu
sym_3_vae_192,sym_24_mc_13,rht
sym_5_vae_317,sym_8_mc_9,scu
sym_5_vae_304,sym_8_mc_9,scu
sym_3_on_5,sym_8_mc_9,the
sym_5_vae_70,sym_9_mc_5,soc
sym_5_vae_298,sym_8_mc_9,scu
sym_4_on_6,sym_16_mc_14,gar
sym_4_vae_2723,sym_13_mc_12,ith
sym_4_vae_107,sym_16_mc_14,gar
sym_5_vae_218,sym_7_mc_4,tpt
sym_5_vae_304,sym_8_mc_8,csq
sym_5_on_13,sym_8_mc_7,scu
sym_3_vae_210,sym_8_mc_7,the
sym_5_vae_BR3264,sym_12_mc_11,ftw
sym_5_vae_1038,sym_8_mc_9,csq
sym_5_vae_317,sym_8_mc_7,scu
sym_5_vae_218,sym_8_mc_8,scu
sym_3_vae_403,sym_8_mc_9,the
sym_5_vae_317,sym_8_mc_7,csq
sym_3_vae_BR429,sym_8_mc_9,the
sym_3_vae_BR429,sym_6_mc_3,pyr
None,sym_3_mc_0,srsb
sym_5_vae_218,sym_12_mc_11,ftw
sym_4_on_8,sym_16_mc_14,gar
sym_5_vae_84,sym_8_mc_9,scu
sym_3_vae_561,sym_6_mc_3,pyr
sym_5_vae_317,sym_8_mc_8,csq
sym_3_on_1,sym_6_mc_3,pyr
sym_5_on_11,sym_8_mc_9,csq
sym_3_vae_2082,sym_24_mc_13,rht
sym_5_on_11,sym_8_mc_9,scu
sym_4_vae_645,sym_8_mc_7,flu
sym_5_vae_795,sym_8_mc_8,scu
sym_5_vae_BR911,sym_8_mc_9,csq
sym_5_on_13,sym_7_mc_4,tpt
sym_4_vae_107,sym_8_mc_8,flu
sym_5_vae_BR911,sym_9_mc_5,soc
sym_3_vae_1001,sym_8_mc_8,the
sym_3_vae_45,sym_8_mc_7,the
sym_5_on_10,sym_7_mc_4,stp
sym_5_on_12,sym_8_mc_8,csq
sym_5_vae_298,sym_8_mc_8,csq
sym_5_vae_1038,sym_8_mc_9,scu
sym_5_vae_434,sym_9_mc_5,soc
sym_5_vae_70,sym_12_mc_11,ftw
sym_5_vae_218,sym_9_mc_5,soc
sym_3_vae_724,sym_6_mc_3,pyr
sym_4_vae_645,sym_13_mc_12,ith
sym_4_on_6,sym_8_mc_7,flu
sym_3_vae_644,sym_8_mc_7,the
sym_5_vae_BR3264,sym_8_mc_9,scu
sym_4_vae_107,sym_8_mc_9,flu
None,sym_5_mc_2,rhrb
sym_3_vae_165,sym_8_mc_9,the
sym_3_vae_644,sym_24_mc_13,rht
sym_3_vae_251,sym_8_mc_9,the
sym_5_vae_BR911,sym_8_mc_7,scu
sym_5_vae_298,sym_8_mc_8,scu
sym_5_on_12,sym_12_mc_11,ftw
sym_4_vae_2723,sym_8_mc_7,flu
sym_3_vae_762,sym_8_mc_8,the
None,sym_5_mc_2,ssa
sym_5_vae_84,sym_12_mc_11,ftw
sym_5_vae_434,sym_7_mc_4,tpt
sym_5_on_12,sym_9_mc_5,soc
sym_4_vae_2723,sym_16_mc_14,gar
sym_5_vae_304,sym_8_mc_7,scu
sym_3_vae_2082,sym_8_mc_7,the
sym_5_vae_196,sym_8_mc_9,scu
sym_3_on_1,sym_8_mc_9,the
sym_3_on_5,sym_8_mc_8,the
sym_5_on_10,sym_8_mc_8,scu
sym_4_vae_2723,sym_8_mc_9,flu
sym_4_on_6,sym_16_mc_6,gar
sym_3_vae_251,sym_6_mc_3,pyr
